year,exporter,importer,product,value_kusd,quantity_tonnes
1996,Portugal,826,283691,4.08,1.0
1996,Romania,Germany,283691,33.285,39.711
1996,Romania,699,283691,95.42,33.0
1996,Russia,Australia,283691,32.342,3.0
1996,Russia,Germany,283691,286.424,84.5
1996,Russia,Hungary,283691,3.0,0.199
1996,Russia,Japan,283691,404.64,76.487
1996,Russia,Ukraine,283691,40.32,8.125
1996,699,Thailand,283691,2.495,2.187
1996,699,894,283691,2.784,0.0
1996,702,South Korea,283691,3.461,0.014
1996,702,554,283691,11.27,0.5
1996,702,699,283691,16.369,4.5
1996,702,Thailand,283691,3.973,0.199
1996,705,Australia,283691,116.893,8.484
1996,705,040,283691,11.193,1.181
1996,705,Croatia,283691,9.47,1.875
1996,705,Denmark,283691,10.114,0.597
1996,705,251,283691,134.046,9.847
1996,705,Germany,283691,3.338,0.218
1996,705,Hungary,283691,3.0,0.199
1996,705,Iran,283691,222.248,11.687
1996,705,Japan,283691,15.865,0.893
1996,705,South Korea,283691,58.621,3.798
1996,705,Mexico,283691,14.808,1.0
1996,705,490,283691,11.843,0.699
1996,705,Netherlands,283691,28.577,2.042
1996,705,554,283691,12.875,0.5
1996,705,702,283691,13.729,1.0
1996,705,757,283691,8.262,0.483
1996,705,Turkey,283691,47.266,9.187
1996,711,716,283691,2.036,0.0
1996,Spain,Italy,283691,60.003,17.715
1996,Spain,Morocco,283691,2.142,3.875
1996,Spain,Portugal,283691,2.08,0.5
1996,Spain,Turkey,283691,129.951,37.438
1996,Spain,826,283691,84.289,21.195
1996,Spain,Venezuela,283691,3.225,0.453
1996,Sweden,Australia,283691,18.198,3.0
1996,Sweden,Finland,283691,19.54,5.0
1996,Sweden,Germany,283691,10.632,3.0
1996,Sweden,Hungary,283691,3.108,0.618
1996,Sweden,757,283691,2.904,0.597
1996,Sweden,826,283691,33.647,12.437
1996,757,Brazil,283691,1.181,0.028
1996,757,251,283691,2.47,0.031
1996,757,Germany,283691,29.003,8.918
1996,757,372,283691,3.646,0.287
1996,757,Italy,283691,14.201,0.449
1996,757,711,283691,59.826,18.0
1996,757,Turkey,283691,39.354,7.625
1996,757,807,283691,6.177,0.156
1996,757,826,283691,35.811,18.003
1996,757,USA,283691,404.776,46.301
1996,757,Uruguay,283691,1.235,0.033
1996,UAE,512,283691,35.737,210.0
1996,826,Australia,283691,0.7,0.012
1996,826,058,283691,25.015,5.895
1996,826,Czech Republic,283691,47.98,0.964
1996,826,Denmark,283691,15.841,4.407
1996,826,233,283691,0.985,0.042
1996,826,Finland,283691,20.144,1.437
1996,826,251,283691,45.018,11.174
1996,826,Germany,283691,222.112,103.459
1996,826,Ghana,283691,5.008,0.097
1996,826,372,283691,62.788,13.262
1996,826,Italy,283691,840.89,214.792
1996,826,Japan,283691,25.455,19.5
1996,826,South Korea,283691,32.026,14.437
1996,826,Netherlands,283691,338.172,69.723
1996,826,Poland,283691,6.405,1.062
1996,826,Portugal,283691,16.415,4.092
1996,826,Saudi Arabia,283691,9.904,1.253
1996,826,Spain,283691,370.36,104.571
1996,826,Sweden,283691,62.816,16.103
1996,826,757,283691,28.835,1.5
1996,826,USA,283691,1.316,0.007
1996,USA,Argentina,283691,96.634,22.015
1996,USA,Australia,283691,292.898,58.738
1996,USA,058,283691,284.113,79.992
1996,USA,Brazil,283691,9.959,1.062
1996,USA,Canada,283691,3713.736,1122.658
1996,USA,China,283691,56.591,16.0
1996,USA,Colombia,283691,1.242,0.183
1996,USA,Denmark,283691,2.669,0.006
1996,USA,Ecuador,283691,7.889,2.0
1996,USA,222,283691,2.016,0.156
1996,USA,Finland,283691,21.375,1.312
1996,USA,251,283691,262.542,75.75
1996,USA,Germany,283691,5271.533,1608.1
1996,USA,Israel,283691,311.406,16.621
1996,USA,388,283691,4.464,0.021
1996,USA,Japan,283691,9986.265,2703.308
1996,USA,South Korea,283691,638.881,187.383
1996,USA,Malaysia,283691,54.054,9.812
1996,USA,Mexico,283691,615.669,176.952
1996,USA,490,283691,275.75,75.398
1996,USA,Netherlands,283691,1711.998,187.808
1996,USA,554,283691,15.922,0.695
1996,USA,Nigeria,283691,95.986,26.664
1996,USA,579,283691,84.921,23.593
1996,USA,Philippines,283691,9.106,0.679
1996,USA,Russia,283691,144.951,139.777
1996,USA,699,283691,175.09,45.495
1996,USA,702,283691,30.579,8.252
1996,USA,711,283691,21.453,5.45
1996,USA,Spain,283691,233.808,67.189
1996,USA,757,283691,8.332,0.296
1996,USA,UAE,283691,13.199,3.687
1996,USA,826,283691,5511.898,1312.687
1996,USA,Venezuela,283691,36.006,10.023
1997,Argentina,USA,283691,909.897,515.062
1997,Australia,554,283691,0.963,0.136
1997,040,Germany,283691,35.496,2.375
1997,040,Poland,283691,1.557,0.097
1997,058,Algeria,283691,5.454,2.375
1997,058,Croatia,283691,5.771,2.0
1997,058,Denmark,283691,7.024,1.86
1997,058,Finland,283691,9.879,5.431
1997,058,251,283691,664.722,373.405
1997,058,Germany,283691,535.292,456.934
1997,058,Israel,283691,37.0,0.0
1997,058,Italy,283691,944.768,498.562
1997,058,450,283691,5.444,0.875
1997,058,Netherlands,283691,197.63,230.976
1997,058,699,283691,177.397,61.0
1997,058,Spain,283691,340.674,182.704
1997,058,826,283691,147.507,83.689
1997,Canada,Germany,283691,12.119,5.875
1997,Canada,328,283691,1.0,0.05
1997,Canada,579,283691,1.551,0.01
1997,Chile,Argentina,283691,53.052,20.551
1997,Chile,Australia,283691,156.986,96.1
1997,Chile,058,283691,4857.115,3506.782
1997,Chile,Canada,283691,595.448,293.094
1997,Chile,China,283691,1403.768,730.224
1997,Chile,Czech Republic,283691,25.422,9.625
1997,Chile,Finland,283691,101.37,34.039
1997,Chile,251,283691,240.99,78.781
1997,Chile,Germany,283691,10468.23,5865.985
1997,Chile,Hungary,283691,82.0,23.101
1997,Chile,Indonesia,283691,56.279,20.0
1997,Chile,Italy,283691,262.436,249.42
1997,Chile,Japan,283691,7969.89,3843.353
1997,Chile,South Korea,283691,684.311,348.256
1997,Chile,Mexico,283691,86.856,45.855
1997,Chile,490,283691,113.737,45.639
